categories	functions
category01	Integration and recombination
category02	DNA/RNA replication and repair
category03	Metabolic enzymes
category04	Transporter activity
category05	Signal transduction
category06	Nucleotide transport and metabolism
category07	Chaperons and cell motility
category08	Phage lysis
category09	Compositional proteins and biogenesis
category10	transcription and regulation of gene expression
category11	translation, ribosomal structure and biogenesis
category12	Toxins and detoxification
category13	Phage function unknown
category14	Plasmid function unknown
category15	Unknown
category16	Others
