Family	ACLAME.Function.s.
family:all:9999	unknown
family:all:9998	unknown
family:all:9997	unknown
family:all:9996	unknown
family:all:9995	unknown
family:all:9994	unknown
family:all:9993	unknown
family:all:9992	unknown
family:all:9991	unknown
family:all:9990	unknown
family:all:999	go:0016787 - hydrolase activity
family:all:9989	unknown
family:all:9988	unknown
family:all:9987	unknown
family:all:9986	unknown
family:all:9985	unknown
family:all:9984	ORF95
family:all:9983	CopG
family:all:9982	unknown
family:all:9981	spdB2-like
family:all:9980	gp9
family:all:998	fumarate reductase/succinate dehydrogenase flavoprotein domain protein
family:all:9979	unknown
family:all:9978	putative alanine-rich protein
family:all:9977	hypothetical plasmid transfer protein, trab
family:all:9976	unknown
family:all:9975	putative lactone biosynthesis protein, mmfl
family:all:9974	putative atp/gtp-binding protein, mmyk
family:all:9973	replication initiation protein, RepL2
family:all:9972	putative large secreted protein
family:all:9971	unknown
family:all:9970	putative oxidoreductase subunit
family:all:997	go:0005215 - transporter activity
family:all:9969	unknown
family:all:9968	unknown
family:all:9967	unknown
family:all:9966	unknown
family:all:9965	unknown
family:all:9964	unknown
family:all:9963	unknown
family:all:9962	unknown
family:all:9961	unknown
family:all:9960	doubtful cds, hypothetical protein
family:all:996	alkylhydroperoxidase like protein, AhpD family
family:all:9959	unknown
family:all:9958	unknown
family:all:9957	unknown
family:all:9956	unknown
family:all:9955	unknown
family:all:9954	putative regulatory protein
family:all:9953	scp1.57c
family:all:9952	spore associated protein, sapc
family:all:9951	spore associated protein, sapd
family:all:9950	unknown
family:all:995	mobilization protein
family:all:9949	unknown
family:all:9948	putative conserved integral membrane protein
family:all:9947	unknown
family:all:9946	hypothetical protein, doubtful cds
family:all:9945	hypothetical protein, doubtful cds
family:all:9944	unknown
family:all:9943	unknown
family:all:9942	aclame:function:513 - IS481 family
family:all:9941	unknown
family:all:9940	unknown
family:all:994	Superfamily I DNA and RNA helicases and helicase subunits-like protein
family:all:9939	unknown
family:all:9938	unknown
family:all:9937	unknown
family:all:9936	unknown
family:all:9935	unknown
family:all:9934	unknown
family:all:9933	unknown
family:all:9932	unknown
family:all:9931	unknown
family:all:9930	unknown
family:all:993	Na+/solute symporter
family:all:9929	unknown
family:all:9928	unknown
family:all:9927	unknown
family:all:9926	unknown
family:all:9925	unknown
family:all:9924	unknown
family:all:9923	unknown
family:all:9922	unknown
family:all:9921	unknown
family:all:9920	unknown
family:all:992	prevent-host-death family protein
family:all:9919	putative plasmid transfer protein
family:all:9918	unknown
family:all:9917	unknown
family:all:9916	unknown
family:all:9915	unknown
family:all:9914	unknown
family:all:9913	putative endonuclease VII
family:all:9912	unknown
family:all:9911	unknown
family:all:9910	unknown
family:all:991	go:0003754 - chaperone activity
family:all:9909	unknown
family:all:9908	unknown
family:all:9907	unknown
family:all:9906	unknown
family:all:9905	phi:0000317 - relaxase activity
family:all:9904	unknown
family:all:9903	unknown
family:all:9902	unknown
family:all:9901	phi:0000052 - phage lysogenic conversion
family:all:9900	mono-ADP-ribosyltransferase C3 precursor
family:all:990	phi:0000333 - plasmid function unknown
family:all:99	phi:0000088 - phage base plate protein
family:all:99	phi:0000088 - phage base plate protein; go:0034290 - holin activity
family:all:99	go:0034290 - holin activity
family:all:9899	unknown
family:all:9898	hypothetical conserved hyothetical protein, in Caulobacter crescentus located in trpFBA operon
family:all:9897	unknown
family:all:9896	putative glycosyltransferase protein
family:all:9895	putative TetR family receptor protein
family:all:9894	unknown
family:all:9893	putative nucleotide binding protein
family:all:9892	orf, hypothetical
family:all:9891	orf, hypothetical
family:all:9890	orf, hypothetical
family:all:989	phi:0000326 - phage function unknown
family:all:9889	unknown
family:all:9888	unknown
family:all:9887	unknown
family:all:9886	SefI
family:all:9885	Sea21
family:all:9884	unknown
family:all:9883	Gp62
family:all:9882	unknown
family:all:9881	unknown
family:all:9880	unknown
family:all:988	phi:0000263 - type IV protein secretion/mating pair formation system complex; phi:0000271 - intercellular transfer by conjugation
family:all:9879	unknown
family:all:9878	unknown
family:all:9877	unknown
family:all:9876	unknown
family:all:9875	unknown
family:all:9874	unknown
family:all:9873	unknown
family:all:9872	unknown
family:all:9871	unknown
family:all:9870	unknown
family:all:987	phi:0000333 - plasmid function unknown
family:all:9869	unknown
family:all:9868	unknown
family:all:9867	unknown
family:all:9866	unknown
family:all:9865	unknown
family:all:9864	unknown
family:all:9863	unknown
family:all:9862	unknown
family:all:9861	unknown
family:all:9860	unknown
family:all:986	cystathionine gamma-synthase protein
family:all:9859	unknown
family:all:9858	putative replication protein
family:all:9857	unknown
family:all:9856	unknown
family:all:9855	unknown
family:all:9854	unknown
family:all:9853	unknown
family:all:9852	unknown
family:all:9851	unknown
family:all:9850	unknown
family:all:985	go:0046138 - coenzyme and prosthetic group biosynthetic process
family:all:9849	unknown
family:all:9848	unknown
family:all:9847	unknown
family:all:9846	Y4wA
family:all:9845	Y4lK
family:all:9844	Y4hR
family:all:9843	unknown
family:all:9842	unknown
family:all:9841	Fe-S cofactor nitrogenase synthesis protein
family:all:9840	NifW
family:all:984	phi:0000296 - type III secretion system cytoplasmic ring component
family:all:9839	NifZ
family:all:9838	Y4kS
family:all:9837	Y4kT
family:all:9836	NifQ
family:all:9835	unknown
family:all:9834	fucosyl transferase protein
family:all:9833	unknown
family:all:9832	unknown
family:all:9831	unknown
family:all:9830	unknown
family:all:983	phi:0000333 - plasmid function unknown
family:all:9829	PROBABLE SIGNAL PEPTIDE PROTEIN
family:all:9828	unknown
family:all:9827	putative transmembrane protein
family:all:9826	unknown
family:all:9825	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9824	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9823	PUTATIVE LIPOPROTEIN TRANSMEMBRANE
family:all:9822	unknown
family:all:9821	phi:0000333 - plasmid function unknown
family:all:9820	PROBABLE TRANSMEMBRANE PROTEIN
family:all:982	phi:0000333 - plasmid function unknown
family:all:9819	unknown
family:all:9818	PROBABLE TRANSMEMBRANE PROTEIN
family:all:9817	PUTATIVE TRANSMEMBRANE PROTEIN
family:all:9816	unknown
family:all:9815	unknown
family:all:9814	O-antigen modification protein
family:all:9813	PUTATIVE TRANSMEMBRANE PROTEIN
family:all:9812	unknown
family:all:9811	PROBABLE TEK-RELATED PROTEIN
family:all:9810	PROBABLE SIGNAL PEPTIDE PROTEIN
family:all:981	phi:0000324 - plasmid mobilization
family:all:9809	phi:0000273 - pilin
family:all:9808	POPC PROTEIN
family:all:9807	unknown
family:all:9806	unknown
family:all:9805	indole-3-glycerol-phosphate synthase
family:all:9804	unknown
family:all:9803	unknown
family:all:9802	HYPOTHETICAL SIGNAL PEPTIDE PROTEIN
family:all:9801	unknown
family:all:9800	unknown
family:all:980	gp21 prohead core scaffold protein and protease
family:all:98	go:0004530 - deoxyribonuclease I activity
family:all:98	phi:0000126 - DNA endonuclease activity
family:all:9799	Y4yB
family:all:9798	HYPOTHETICAL SIGNAL PEPTIDE PROTEIN
family:all:9797	PUTATIVE OXIDOREDUCTASE PROTEIN
family:all:9796	go:0008237 - metallopeptidase activity
family:all:9795	putative ferrous iron transport protein A
family:all:9794	PROBABLE VANILLATE O-DEMETHYLASE OXYGENASE SUBUNIT OXIDOREDUCTASE PROTEIN
family:all:9793	unknown
family:all:9792	unknown
family:all:9791	PROBABLE PROLIN-RICH TRANSMEMBRANE PROTEIN
family:all:9790	unknown
family:all:979	phi:0000011 - phage tail fiber assembly
family:all:979	phi:0000326 - phage function unknown
family:all:9789	unknown
family:all:9788	type III effector HopO1-1
family:all:9787	unknown
family:all:9786	lipoprotein, putative
family:all:9785	inorganic diphosphatase
family:all:9784	unknown
family:all:9783	unknown
family:all:9782	diacylglycerol kinase
family:all:9781	unknown
family:all:9780	unknown
family:all:978	phi:0000335 - phage mediated modulation of host functions; phi:0000167 - inhibitor of FtsH protease activity
family:all:9779	unknown
family:all:9778	unknown
family:all:9777	transfer inhibition protein for RP4
family:all:9776	unknown
family:all:9775	unknown
family:all:9774	unknown
family:all:9773	unknown
family:all:9772	replication transcriptional regulator
family:all:9771	unknown
family:all:9770	unknown
family:all:977	phi:0000335 - phage mediated modulation of host functions
family:all:9769	unknown
family:all:9768	unknown
family:all:9767	unknown
family:all:9766	unknown
family:all:9765	unknown
family:all:9764	unknown
family:all:9763	unknown
family:all:9762	unknown
family:all:9761	PvuIIR
family:all:9760	unknown
family:all:976	phi:0000065 - capsid scaffolding protein
family:all:9759	unknown
family:all:9758	unknown
family:all:9757	unknown
family:all:9756	TraI protein
family:all:9755	KorA protein
family:all:9754	unknown
family:all:9753	unknown
family:all:9752	unknown
family:all:9751	unknown
family:all:9750	unknown
family:all:975	phi:0000066 - phage head/capsid major protein
family:all:9749	shufflon protein A
family:all:9748	shufflon protein C
family:all:9747	shufflon protein B'
family:all:9746	shufflon protein B
family:all:9745	unknown
family:all:9744	unknown
family:all:9743	unknown
family:all:9742	unknown
family:all:9741	unknown
family:all:9740	phycobilisome degradation protein
family:all:974	phi:0000326 - phage function unknown
family:all:9739	unknown
family:all:9738	Y4iK
family:all:9737	OrfB
family:all:9736	putative ggdef family protein
family:all:9735	unknown
family:all:9734	unknown
family:all:9733	unknown
family:all:9732	unknown
family:all:9731	unknown
family:all:9730	unknown
family:all:973	phi:0000122 - excisionase activity
family:all:9729	unknown
family:all:9728	unknown
family:all:9727	unknown
family:all:9726	putative transglutaminase-like protease
family:all:9725	unknown
family:all:9724	unknown
family:all:9723	unknown
family:all:9722	phi:0000333 - plasmid function unknown
family:all:9721	unknown
family:all:9720	unknown
family:all:972	go:0034290 - holin activity
family:all:972	phi:0000013 - phage release by lysis; go:0034290 - holin activity
family:all:9719	unknown
family:all:9718	phi:0000143 - tyrosine-based recombinase activity; phi:0000056 - prophage DNA integration
family:all:9717	unknown
family:all:9716	Y4oW
family:all:9715	unknown
family:all:9714	unknown
family:all:9713	unknown
family:all:9712	Y4nK
family:all:9711	unknown
family:all:9710	EpsH
family:all:971	phi:0000074 - phage terminase small subunit
family:all:9709	cell envelope-related transcriptional attenuator
family:all:9708	AbiK
family:all:9707	phi:0000320 - lantibiotic biosynthesis
family:all:9706	unknown
family:all:9705	unknown
family:all:9704	aclame:function:545 - TA family higBA; go:0015643 - toxin binding; phi:0000322 - post-segregational killing
family:all:9703	unknown
family:all:9702	DNA-directed DNA polymerase
family:all:9701	unknown
family:all:9700	unknown
family:all:970	phi:0000326 - phage function unknown
family:all:97	go:0009008 - DNA-methyltransferase activity
family:all:9699	unknown
family:all:9698	unknown
family:all:9697	unknown
family:all:9696	unknown
family:all:9695	unknown
family:all:9694	unknown
family:all:9693	unknown
family:all:9692	unknown
family:all:9691	unknown
family:all:9690	unknown
family:all:969	phi:0000326 - phage function unknown
family:all:9689	unknown
family:all:9688	unknown
family:all:9687	unknown
family:all:9686	unknown
family:all:9685	unknown
family:all:9684	unknown
family:all:9683	unknown
family:all:9682	unknown
family:all:9681	unknown
family:all:9680	unknown
family:all:968	phi:0000326 - phage function unknown
family:all:9679	unknown
family:all:9678	unknown
family:all:9677	unknown
family:all:9676	unknown
family:all:9675	unknown
family:all:9674	unknown
family:all:9673	unknown
family:all:9672	unknown
family:all:9671	Pas43
family:all:9670	RepB protein
family:all:967	go:0016564 - transcription repressor activity
family:all:967	phi:0000002 - phage infectious cycle; go:0016564 - transcription repressor activity
family:all:9669	unknown
family:all:9668	Rac prophage; predicted protein
family:all:9667	unknown
family:all:9666	unknown
family:all:9665	unknown
family:all:9664	CcgD protein
family:all:9663	unknown
family:all:9662	conserved hypothetical protein
family:all:9661	unknown
family:all:9660	unknown
family:all:966	phi:0000066 - phage head/capsid major protein
family:all:9659	unknown
family:all:9658	unknown
family:all:9657	unknown
family:all:9656	unknown
family:all:9655	unknown
family:all:9654	hypothetical membrane protein
family:all:9653	unknown
family:all:9652	unknown
family:all:9651	putative exported protein of unknown function
family:all:9650	unknown
family:all:965	phi:0000326 - phage function unknown
family:all:9649	unknown
family:all:9648	unknown
family:all:9647	putative exported protein of unknown function
family:all:9646	unknown
family:all:9645	unknown
family:all:9644	gp71
family:all:9643	putative outer membrane protein
family:all:9642	minor fimbrial subunit
family:all:9641	regulator
family:all:9640	putative cytoplasmic protein
family:all:964	phi:0000326 - phage function unknown
family:all:9639	putative cytoplasmic protein
family:all:9638	unknown
family:all:9637	DNA helicase
