category	function
category13	phi:0000326 - phage function unknown
category04	go:0005215 - transporter activity
category04	go:0004009 - ATP-binding cassette (ABC) transporter activity
category15	unknown
category03	go:0016491 - oxidoreductase activity
category01	aclame:function:500 - IS5 family; phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination
category01	phi:0000143 - tyrosine-based recombinase activity; phi:0000056 - prophage DNA integration
category03	go:0009008 - DNA-methyltransferase activity
category16	collagen adhesion protein
category03	go:0016772 - transferase activity, transferring phosphorus-containing groups
category01	phi:0000143 - tyrosine-based recombinase activity
category01	phi:0000143 - tyrosine-based recombinase activity; phi:0000131 - site-specific DNA recombination
category05	go:0000156 - two-component response regulator activity
category05	go:0000155 - two-component sensor activity; go:0000156 - two-component response regulator activity; go:0000160 - two-component signal transduction system (phosphorelay)
category05	go:0000156 - two-component response regulator activity; go:0000160 - two-component signal transduction system (phosphorelay)
category05	go:0000156 - two-component response regulator activity; go:0000160 - two-component signal transduction system (phosphorelay); go:0000155 - two-component sensor activity
category02	go:0003964 - RNA-directed DNA polymerase activity
category16	go:0006314 - intron homing
category14	phi:0000333 - plasmid function unknown
category01	aclame:function:508 - IS66 family; phi:0000136 - transpositional DNA recombination; go:0004803 - transposase activity
category02	go:0004386 - helicase activity
category04	go:0015075 - ion transmembrane transporter activity
category01	phi:0000330 - site-specific DNA inversion; phi:0000056 - prophage DNA integration; phi:0000144 - serine-based recombinase activity
category01	phi:0000131 - site-specific DNA recombination; phi:0000144 - serine-based recombinase activity
category16	phi:0000335 - phage mediated modulation of host functions; phi:0000193 - restriction alleviation
category02	go:0003916 - DNA topoisomerase activity
category07	phi:0000338 - chaperon activity
category02	go:0003678 - DNA helicase activity
category10	phi:0000184 - transcription factor activity
category01	aclame:function:504 - IS21 family; phi:0000136 - transpositional DNA recombination
category01	phi:0000153 - DDE-based recombinase activity; phi:0000136 - transpositional DNA recombination; aclame:function:504 - IS21 family
category01	phi:0000153 - DDE-based recombinase activity
category03	go:0016740 - transferase activity
category02	DNA-directed RNA polymerase, beta' subunit
category03	go:0016787 - hydrolase activity
category02	DNA-directed RNA polymerase, beta subunit
category03	go:0046527 - glucosyltransferase activity
category05	go:0043789 - diguanylate cyclase activity; go:0006950 - response to stress; go:0042710 - biofilm formation
category11	Isoleucyl-tRNA synthetase, mupirocin resistant protein
category16	go:0016853 - isomerase activity
category03	go:0016829 - lyase activity
category01	aclame:function:511 - IS110 family; phi:0000131 - site-specific DNA recombination
category02	DNA mismatch repair protein
category07	phi:0000271 - intercellular transfer by conjugation; aclame:566 - Type IV secretion complex VirB4 family; phi:0000263 - type IV protein secretion/mating pair formation system complex
category08	phi:0000013 - phage release by lysis; phi:0000340 - cell wall degrading amidase activity
category02	go:0003918 - DNA topoisomerase (ATP-hydrolyzing) activity
category02	phi:0000271 - intercellular transfer by conjugation; go:0003916 - DNA topoisomerase activity
category08	go:0008933 - lytic transglycosylase activity
category05	putative two-component sensor histidine kinase protein
category02	go:0003896 - DNA primase activity
category03	go:0016757 - transferase activity, transferring glycosyl groups
category02	go:0003724 - RNA helicase activity
category09	go:0009103 - lipopolysaccharide biosynthetic process
category16	MerG protein
category02	phi:0000026 - phage DNA replication; go:0004386 - helicase activity
category05	AbpK sensory Transduction Histidine Kinase
category03	go:0016887 - ATPase activity
category02	go:0003887 - DNA-directed DNA polymerase activity
category02	go:0008408 - 3'-5' exonuclease activity
category16	conserved hypothetical protein BctA
category02	go:0006260 - DNA replication; go:0006281 - DNA repair
category02	aclame:575 - plasmid partitioning protein family ParB/Spo0J; go:0003677 - DNA binding
category03	metal dependent phosphohydrolase
category03	putative glycosyl hydrolase, similar to beta-N-acetylhexosaminidase protein
category01	aclame:function:508 - IS66 family; phi:0000136 - transpositional DNA recombination
category07	probable chaperone protein DnaK
category09	phi:0000086 - phage tail tape measure protein
category06	go:0046123 - purine deoxyribonucleoside biosynthetic process; go:0008998 - ribonucleoside-triphosphate reductase activity
category03	go:0009307 - DNA restriction-modification system; go:0009008 - DNA-methyltransferase activity
category16	go:0016744 - transferase activity, transferring aldehyde or ketonic groups
category16	aclame:function:498 - IS3 family
category16	putative replication protein
category02	phi:0000026 - phage DNA replication
category16	Y4wA
category11	go:0004815 - aspartate-tRNA ligase activity
category03	go:0008483 - transaminase activity
category01	aclame:function:498 - IS3 family; phi:0000153 - DDE-based recombinase activity
category08	go:0008933 - lytic transglycosylase activity; phi:0000015 - phage tail assembly
category12	phi:0000262 - toxin; go:0052049 - interaction with host via protein secreted by type III secretion system
category03	go:0004642 - phosphoribosylformylglycinamidine synthase activity
category01	aclame:function:504 - IS21 family; phi:0000351 - positive regulation of DNA transposition
category02	go:0006260 - DNA replication
category07	go:0052049 - interaction with host via protein secreted by type III secretion system
category01	phi:0000153 - DDE-based recombinase activity; aclame:function:498 - IS3 family
category03	go:0016887 - ATPase activity; go:0030541 - plasmid partitioning
category16	regulator of chromosome condensation, RCC1
category01	phi:0000143 - tyrosine-based recombinase activity; go:0006313 - transposition, DNA-mediated; aclame:function:506 - IS605 family
category08	phi:0000340 - cell wall degrading amidase activity
category03	go:0046138 - coenzyme and prosthetic group biosynthetic process
category03	cystathionine gamma-synthase protein
category16	go:0030163 - protein catabolic process
category03	go:0008237 - metallopeptidase activity
category03	go:0008861 - formate C-acetyltransferase activity
category02	go:0003909 - DNA ligase activity; phi:0000026 - phage DNA replication
category07	go:0003754 - chaperone activity
category03	Serine-type D-Ala-D-Ala carboxypeptidase
category16	ATP-dependent protease La
